County,Town,Oil extraction method,Producing Formation,Oil Produced bbl,Number of active oil wells,Reporting Year
9,Conewango,Fountain,Medina,5904,1,1999
13,Cherry Creek,Pump equipment,Medina,1298,0,1997
13,Sherman,Fountain,Medina,2460,0,1991
13,Ellery,Pump equipment,Medina,4361,1,1992
121,Arcade,Gaslift,Medina,1443,0,1992
13,Chautauqua,Fountain,Medina,2014,13,1999
37,Alexander,Fountain,Medina,3507,1,1995
13,Clymer,Pump equipment,Medina,17120,1,1999
13,Poland,Gaslift,Medina,4722,1,1993
13,Cherry Creek,Fountain,Medina,4866,1,1998
51,Leicester,Pump equipment,Medina,17661,1,1991
121,Bennington,Pump equipment,Medina,715,2,1998
13,Westfield,Fountain,Medina,3805,57,1992
13,Westfield,Pump equipment,Medina,3496,3,1996
9,Conewango,Gaslift,Medina,5396,59,1997
13,Chautauqua,Gaslift,Medina,4635,30,1991
13,Ellery,Pump equipment,Bass Island,0,0,1993
13,Stockton,Pump equipment,Medina,3728,2,1993
13,Dunkirk,Fountain,Medina,2212,1,1998
13,Chautauqua,Pump equipment,Medina,3141,4,1997
13,Westfield,Gaslift,Medina,2130,1,1991
13,Arkwright,Gaslift,Medina,6219,0,1992
9,East Otto,Fountain,Medina,1171,4,1999
13,Stockton,Pump equipment,Medina,1115,2,1997
13,Charlotte,Pump equipment,Medina,10852,5,1996
13,Westfield,Gaslift,Medina,3822,3,1994
13,Westfield,Gaslift,Medina,1270,0,1999
29,Buffalo,Pump equipment,Medina,100,2,1997
121,Sheldon,Pump equipment,Medina,947,7,1995
13,Ripley,Pump equipment,Medina,1762,1,1998
13,Ellery,Pump equipment,Bass Island,0,1,1993
13,Westfield,Gaslift,Medina,7808,56,1998
121,Sheldon,Gaslift,Medina,417,2,1998
13,Harmony,Gaslift,Medina,0,1,1999
13,Ripley,Pump equipment,Medina,2094,3,1991
13,Portland,Gaslift,Medina,1300,3,1999
29,Alden,Fountain,Medina,228,1,1993
13,Chautauqua,Gaslift,Medina,667,1,1994
3,Alma,Pump equipment,Bass Island,199,0,1994
13,Kiantone,Pump equipment,Medina,4923,3,1994
3,Amity,Gaslift,Bass Island,22743,1,1994
13,Ripley,Gaslift,Medina,1312,1,1998
13,Dunkirk City,Pump equipment,Medina,5824,39,1997
3,Alma,Pump equipment,Bass Island,0,1,1999
13,Kiantone,Gaslift,Medina,2031,6,1993
29,Brant,Fountain,Medina,5445,0,1998
37,Alexander,Gaslift,Medina,1388,4,1998
13,Stockton,Gaslift,Medina,542,0,1998
13,Harmony,Gaslift,Medina,2941,16,1994
13,Sherman,Fountain,Medina,6140,0,1993
37,Bethany,Pump equipment,Medina,6458,3,1998
13,Gerry,Pump equipment,Medina,13460,13,1995
37,Alexander,Pump equipment,Medina,1347,72,1995
29,Concord,Pump equipment,Medina,1488,5,1991
9,Conewango,Gaslift,Medina,4912,7,1998
13,Arkwright,Gaslift,Medina,1063,2,1993
13,Ripley,Gaslift,Medina,2261,1,1993
37,Bethany,Pump equipment,Medina,1700,1,1997
13,Ripley,Pump equipment,Medina,1570,0,1992
13,Mina,Pump equipment,Medina,62,4,1993
13,Chautauqua,Gaslift,Medina,5739,15,2000
13,Clymer,Fountain,Medina,2800,1,1994
13,Mina,Gaslift,Medina,778,19,1996
121,Sheldon,Gaslift,Medina,665,0,1998
13,Stockton,Pump equipment,Medina,5372,1,1993
13,Dunkirk City,Gaslift,Medina,2449,2,1993
13,Harmony,Gaslift,Medina,1588,13,1994
13,Gerry,Gaslift,Medina,7323,2,1995
29,Hamburg,Pump equipment,Medina,3406,17,1999
29,Brant,Gaslift,Medina,2349,2,1995
29,Elma,Fountain,Medina,5621,4,1993
13,Ripley,Gaslift,Medina,6194,4,1991
13,Stockton,Gaslift,Medina,2968,3,1992
121,Bennington,Gaslift,Medina,1959,0,1995
13,Ellery,Pump equipment,Medina,646,5,2000
13,Ripley,Pump equipment,Medina,1406,49,1999
37,Darien,Gaslift,Medina,3508,2,2000
37,Pembroke,Gaslift,Medina,114,0,1997
37,Alexander,Pump equipment,Medina,2510,0,1997
29,Alden,Gaslift,Medina,1993,9,1993
29,Newstead,Gaslift,Medina,5198,22,1994
13,Westfield,Gaslift,Medina,4032,2,1994
51,Leicester,Pump equipment,Medina,3076,1,1996
13,Clymer,Fountain,Medina,5189,1,1996
13,Ellington,Gaslift,Medina,3817,8,1997
13,Sherman,Gaslift,Bass Island,1749,1,1993
13,Westfield,Gaslift,Medina,4376,1,1992
13,Stockton,Pump equipment,Medina,2015,1,1993
29,Elma,Pump equipment,Medina,760,0,1999
51,Caledonia,Gaslift,Medina,5248,5,1997
51,York,Gaslift,Medina,938,3,1992
13,Hanover,Gaslift,Medina,1082,1,1998
13,Arkwright,Gaslift,Medina,5987,5,1994
13,Chautauqua,Fountain,Medina,6123,6,1997
13,Hanover,Pump equipment,Medina,3042,1,1994
37,Alexander,Gaslift,Medina,1888,1,1999
121,Sheldon,Gaslift,Medina,1219,20,1999
37,Darien,Pump equipment,Medina,3670,1,1997
13,Sheridan,Gaslift,Medina,2757,1,1996
13,Harmony,Gaslift,Medina,6052,10,1993
13,French Creek,Fountain,Medina,1098,0,1992
29,Eden,Fountain,Medina,1250,1,1993
13,Ellington,Pump equipment,Medina,5146,7,1999
13,Chautauqua,Gaslift,Medina,35672,0,1998
13,Ripley,Gaslift,Medina,4200,2,1993
13,Cherry Creek,Pump equipment,Medina,638,1,1993
13,Dunkirk City,Fountain,Medina,608,2,1992
13,Clymer,Gaslift,Medina,24967,1,1997
29,Brant,Pump equipment,Medina,2615,1,1993
13,Clymer,Gaslift,Medina,1523,13,1991
13,Ellery,Gaslift,Medina,24417,14,1998
13,Clymer,Gaslift,Medina,7870,5,1999
29,Evans,Pump equipment,Medina,6266,5,1993
37,Batavia City,Fountain,Medina,6331,0,1997
29,Evans,Gaslift,Medina,2710,10,1993
13,French Creek,Gaslift,Bass Island,3432,0,1999
29,Concord,Gaslift,Medina,547,1,1993
13,Cherry Creek,Pump equipment,Medina,6320,10,1997
13,Ripley,Pump equipment,Medina,1523,2,1994
13,Ellery,Gaslift,Bass Island,7083,1,1997
13,Ellington,Gaslift,Medina,3505,0,1993
13,Dunkirk,Gaslift,Medina,12315,1,1995
13,Harmony,Gaslift,Medina,5180,0,1992